ticket_id,created_at,user_id,channel,device_info,app_version,subject,body,ground_truth_category,ground_truth_subcategory,ground_truth_escalate,ground_truth_escalation_reason
TCK-1110,2026-07-12 03:26:53,USR-95909,Email Support,Samsung Galaxy S23 (Android 14),v3.12.1,VIP membership inactive on my account,"I paid for the Annual VIP Pass last month. Today after updating to v3.12.1, my account reverted to Free Tier and asks me to buy coins again. I pressed 'Restore Purchases' but nothing happened.",Content Access & Coins,VIP Membership Missing,False,
TCK-1096,2026-07-08 13:33:53,USR-23396,Email Support,iPhone 14 Pro (iOS 17.4),v3.12.1,Episode 25 locked despite using 10 coins,Unlocked Episodes 10 to 15 in bulk for 50 coins. Episodes 12 and 13 are still showing a padlock icon. Please restore my unlocked episodes.,Content Access & Coins,Episode Locked After Unlock,False,
TCK-1045,2026-07-16 07:19:53,USR-23238,Web Help Center,Samsung Galaxy S23 (Android 14),v3.11.8,Charged after cancelling VIP membership,Where is the cancel button for PocketToons VIP? It keeps giving me an error message when I click 'Manage Subscription'. Stop billing my card!,Billing & Refunds,Subscription Cancellation Issue,False,
TCK-1004,2026-07-17 02:40:53,USR-99166,Mobile App,iPhone 14 Pro (iOS 17.4),v3.10.4,Unauthorized auto-renewal after cancellation,I noticed a charge of $49.99 from PocketToons on my credit card today. I cancelled my subscription last month! This is an unauthorized charge. Refund me now or I will file a bank chargeback.,Billing & Refunds,Unauthorized Charge,True,Threat of bank chargeback / legal action or unauthorized fraud report
TCK-1015,2026-07-11 05:59:53,USR-80644,In-App Form,iPad Air (iOS 17.2),v3.10.4,Need refund for coin pack - child purchased by mistake,I accidentally bought the wrong coin tier ($19.99 instead of $4.99). I haven't spent any of the coins. Please refund Order #ORD-399105 so I can buy the correct one.,Billing & Refunds,Refund Request,False,
TCK-1099,2026-07-12 20:02:53,USR-89840,Mobile App,Web Browser (Chrome 122),v3.10.4,Episode 25 locked despite using 10 coins,"I spent 15 coins to unlock Episode 45 of 'Shadow Monarch', my coins were deducted, but when I click play it asks me to spend another 15 coins! Please fix this lock state.",Content Access & Coins,Episode Locked After Unlock,False,
TCK-1083,2026-07-16 05:09:53,USR-86484,Email Support,Web Browser (Chrome 122),v3.10.4,Purchased 1000 coins but balance is still 0,Payment was successful on Google Play but the app threw an error 'Transaction Pending' and my coins are missing. Please help credit them.,Content Access & Coins,Coins Not Credited,False,
TCK-1005,2026-07-13 09:20:53,USR-59823,In-App Form,Xiaomi Redmi Note 12 (Android 13),v3.10.4,Unauthorized auto-renewal after cancellation,I am contacting my bank and attorney if this $50 unauthorized renewal is not refunded immediately. Order ID ORD-653306.,Billing & Refunds,Unauthorized Charge,True,Threat of bank chargeback / legal action or unauthorized fraud report
TCK-1057,2026-07-19 18:27:53,USR-80381,Web Help Center,Pixel 8 (Android 14),v3.10.4,Duplicate charge on my credit card receipt #ORD-126925,"Hi, I bought the $9.99 coin bundle yesterday on my iPhone. My bank statement shows two pending charges of $9.99 on the same minute! Transaction ID: ORD-126925. Please refund the extra $9.99.",Billing & Refunds,Double Billing,False,
TCK-1134,2026-07-18 22:53:53,USR-92397,In-App Form,Web Browser (Chrome 122),v3.10.4,Downloaded episodes won't play offline,Downloads get stuck at 99% and fail with code ERR_STORAGE_WRITE. Device has over 30GB free storage available.,Technical & Playback Bugs,Offline Download Failed,False,
TCK-1070,2026-07-07 07:57:53,USR-35203,Mobile App,Samsung Galaxy S23 (Android 14),v3.11.8,Need refund for coin pack - child purchased by mistake,I accidentally bought the wrong coin tier ($19.99 instead of $4.99). I haven't spent any of the coins. Please refund Order #ORD-478411 so I can buy the correct one.,Billing & Refunds,Refund Request,False,
TCK-1027,2026-07-11 01:49:53,USR-70142,Email Support,iPhone 14 Pro (iOS 17.4),v3.11.8,Unrecognized charge of $49.99 on my statement,My credit card was charged $19.99 for coins I never purchased. I haven't opened the app in weeks. Please investigate this fraudulent charge and issue a full refund.,Billing & Refunds,Unauthorized Charge,True,Threat of bank chargeback / legal action or unauthorized fraud report
TCK-1094,2026-07-11 17:31:53,USR-38746,Web Help Center,Pixel 8 (Android 14),v3.10.4,VIP membership inactive on my account,"I paid for the Annual VIP Pass last month. Today after updating to v3.10.4, my account reverted to Free Tier and asks me to buy coins again. I pressed 'Restore Purchases' but nothing happened.",Content Access & Coins,VIP Membership Missing,False,
TCK-1001,2026-07-12 06:56:53,USR-87236,Web Help Center,iPad Air (iOS 17.2),v3.12.1,Refund request for accidental purchase,The audio quality of the series 'The Billionaire's Secret' is unlistenable and muffled. I want a refund of the $9.99 VIP pass I bought 2 hours ago.,Billing & Refunds,Refund Request,False,
TCK-1193,2026-07-16 13:58:53,USR-58520,Mobile App,iPad Air (iOS 17.2),v3.12.1,Audio volume balance between voice and background music,"I love the audio show 'Vampire Prince', but the background music is way too loud compared to the narrator's voice. Could you adjust the audio mixing in future episodes?",Feedback & General,Narrator Voice Feedback,False,
TCK-1023,2026-07-11 02:07:53,USR-59823,Email Support,iPhone 14 Pro (iOS 17.4),v3.12.1,Fraudulent charge from PocketToons,I am contacting my bank and attorney if this $50 unauthorized renewal is not refunded immediately. Order ID ORD-221035.,Billing & Refunds,Unauthorized Charge,True,Threat of bank chargeback / legal action or unauthorized fraud report
TCK-1192,2026-07-16 10:49:53,USR-30969,Email Support,Xiaomi Redmi Note 12 (Android 13),v3.12.0,Library organization suggestion,Please add a folder or playlist feature in 'My Library' to organize finished vs. ongoing shows.,Feedback & General,App UI / UX Suggestion,False,
TCK-1151,2026-07-16 07:16:53,USR-74686,Email Support,Xiaomi Redmi Note 12 (Android 13),v3.10.4,Audio speeds up and sounds robot-like,"Whenever I play any audio show, the track plays 5 seconds then buffers endlessly. My internet connection is fast (100 Mbps). Device: Xiaomi Redmi Note 12 (Android 13).",Technical & Playback Bugs,Audio Stutter / Buffering,False,
TCK-1136,2026-07-10 10:10:53,USR-15695,Email Support,Web Browser (Chrome 122),v3.11.8,Audio speeds up and sounds robot-like,"Whenever I play any audio show, the track plays 5 seconds then buffers endlessly. My internet connection is fast (100 Mbps). Device: Web Browser (Chrome 122).",Technical & Playback Bugs,Audio Stutter / Buffering,False,
TCK-1118,2026-07-14 15:42:53,USR-52504,In-App Form,iPad Air (iOS 17.2),v3.10.4,VIP membership inactive on my account,"I paid for the Annual VIP Pass last month. Today after updating to v3.10.4, my account reverted to Free Tier and asks me to buy coins again. I pressed 'Restore Purchases' but nothing happened.",Content Access & Coins,VIP Membership Missing,False,
TCK-1017,2026-07-07 20:31:53,USR-16175,Mobile App,Xiaomi Redmi Note 12 (Android 13),v3.12.1,Cannot cancel monthly subscription,"I tried cancelling my $9.99 monthly pass in settings last week, but I was still billed today. Please verify my cancellation and refund this month's charge.",Billing & Refunds,Subscription Cancellation Issue,False,
TCK-1029,2026-07-09 22:02:53,USR-28289,Web Help Center,Web Browser (Chrome 122),v3.11.8,Charged after cancelling VIP membership,Where is the cancel button for PocketToons VIP? It keeps giving me an error message when I click 'Manage Subscription'. Stop billing my card!,Billing & Refunds,Subscription Cancellation Issue,False,
TCK-1127,2026-07-19 14:47:53,USR-13478,Mobile App,Xiaomi Redmi Note 12 (Android 13),v3.12.1,Purchased 1000 coins but balance is still 0,"Hey support, I bought 500 coins for $9.99. Receipt #ORD-437758 received, but coins haven't shown up after restarting the app. User ID: USR-13478.",Content Access & Coins,Coins Not Credited,False,
TCK-1035,2026-07-13 19:25:53,USR-99192,Email Support,Xiaomi Redmi Note 12 (Android 13),v3.12.1,Double billing issue on order ORD-945687,"Hi, I bought the $9.99 coin bundle yesterday on my iPhone. My bank statement shows two pending charges of $9.99 on the same minute! Transaction ID: ORD-945687. Please refund the extra $9.99.",Billing & Refunds,Double Billing,False,
TCK-1146,2026-07-14 12:43:53,USR-46463,In-App Form,iPhone 14 Pro (iOS 17.4),v3.11.8,App freeze during coin checkout,Crash report: app crashes every time I try to play Episode 10 of any series.,Technical & Playback Bugs,App Crash,False,
TCK-1178,2026-07-08 15:42:53,USR-20458,Mobile App,iPhone 14 Pro (iOS 17.4),v3.11.8,Login error code 500,"I'm trying to log in using my phone number, but the 6-digit OTP SMS code is never delivered to my phone. I tried 5 times. Please help me log in.",Account & Security,Cannot Login / OTP Fail,False,
TCK-1048,2026-07-14 22:50:53,USR-95909,Web Help Center,Samsung Galaxy S23 (Android 14),v3.10.4,Cannot cancel monthly subscription,Please cancel my subscription immediately and send confirmation to my email. I do not want auto-renew enabled.,Billing & Refunds,Subscription Cancellation Issue,False,
TCK-1112,2026-07-12 07:31:53,USR-18675,Mobile App,Xiaomi Redmi Note 12 (Android 13),v3.11.8,Restore purchase not working for VIP pass,"I paid for the Annual VIP Pass last month. Today after updating to v3.11.8, my account reverted to Free Tier and asks me to buy coins again. I pressed 'Restore Purchases' but nothing happened.",Content Access & Coins,VIP Membership Missing,False,
TCK-1173,2026-07-13 03:34:53,USR-91070,Mobile App,Samsung Galaxy S23 (Android 14),v3.10.4,Login error code 500,"I'm trying to log in using my phone number, but the 6-digit OTP SMS code is never delivered to my phone. I tried 5 times. Please help me log in.",Account & Security,Cannot Login / OTP Fail,False,
TCK-1020,2026-07-18 12:43:53,USR-44438,Web Help Center,iPhone 14 Pro (iOS 17.4),v3.12.0,Refund request for accidental purchase,My 6-year-old toddler tapped the screen and accidentally bought the 2000 coins pack for $29.99. None of the coins have been used yet. Can you please process a refund?,Billing & Refunds,Refund Request,False,
TCK-1198,2026-07-18 01:38:53,USR-65392,Web Help Center,Web Browser (Chrome 122),v3.12.0,Suggestion for narrator sound quality,Just wanted to say the narration team for 'Alpha King' is phenomenal! Amazing sound effects and performance.,Feedback & General,Narrator Voice Feedback,False,
TCK-1168,2026-07-12 12:04:53,USR-79352,Email Support,Web Browser (Chrome 122),v3.12.0,OTP SMS code not arriving,"I'm trying to log in using my phone number, but the 6-digit OTP SMS code is never delivered to my phone. I tried 5 times. Please help me log in.",Account & Security,Cannot Login / OTP Fail,False,
TCK-1176,2026-07-14 12:02:53,USR-93886,In-App Form,Xiaomi Redmi Note 12 (Android 13),v3.10.4,GDPR data deletion request,I want to close my account permanently. How do I delete my profile data?,Account & Security,Account Deletion Request,True,Regulatory compliance / GDPR / CCPA data erasure request
TCK-1085,2026-07-07 03:08:53,USR-80010,Email Support,Web Browser (Chrome 122),v3.10.4,Missing coin purchase,Payment was successful on Google Play but the app threw an error 'Transaction Pending' and my coins are missing. Please help credit them.,Content Access & Coins,Coins Not Credited,False,
TCK-1067,2026-07-13 06:33:53,USR-61856,Email Support,Xiaomi Redmi Note 12 (Android 13),v3.11.8,Requesting refund for Order #ORD-882169,I accidentally bought the wrong coin tier ($19.99 instead of $4.99). I haven't spent any of the coins. Please refund Order #ORD-882169 so I can buy the correct one.,Billing & Refunds,Refund Request,False,
TCK-1030,2026-07-13 05:46:53,USR-14207,In-App Form,iPad Air (iOS 17.2),v3.12.1,Double billing issue on order ORD-140605,"Hello team, I was charged twice for the monthly VIP pass ($14.99 x 2). I only pressed subscribe once. Please reverse the duplicate payment immediately.",Billing & Refunds,Double Billing,False,
TCK-1188,2026-07-16 06:24:53,USR-92240,Mobile App,Web Browser (Chrome 122),v3.12.1,Feature request: Playback speed control 2.5x,Please add a folder or playlist feature in 'My Library' to organize finished vs. ongoing shows.,Feedback & General,App UI / UX Suggestion,False,
TCK-1187,2026-07-15 12:56:53,USR-93886,Mobile App,iPad Air (iOS 17.2),v3.11.8,Feedback on narrator for 'Vampire Prince',Just wanted to say the narration team for 'Alpha King' is phenomenal! Amazing sound effects and performance.,Feedback & General,Narrator Voice Feedback,False,
TCK-1156,2026-07-16 06:10:53,USR-83563,Mobile App,Web Browser (Chrome 122),v3.12.1,Crash when opening 'My Library' tab,Crash report: app crashes every time I try to play Episode 10 of any series.,Technical & Playback Bugs,App Crash,False,
TCK-1114,2026-07-16 20:39:53,USR-28289,In-App Form,Xiaomi Redmi Note 12 (Android 13),v3.11.8,Episode 25 locked despite using 10 coins,Coins were deducted twice for unlocking the same episode! Check my transaction history.,Content Access & Coins,Episode Locked After Unlock,False,
TCK-1181,2026-07-15 08:35:53,USR-87397,Email Support,Samsung Galaxy S23 (Android 14),v3.12.0,My coin balance was drained by an unauthorized login,Urgent: Unauthorized password change notification received. I did not request this. Freeze my account to prevent fraud!,Account & Security,Suspicious Activity / Hacked Account,True,Account compromise / Security breach / Hacked account
TCK-1043,2026-07-18 09:10:53,USR-65302,Web Help Center,Samsung Galaxy S23 (Android 14),v3.12.0,Charged after cancelling VIP membership,Where is the cancel button for PocketToons VIP? It keeps giving me an error message when I click 'Manage Subscription'. Stop billing my card!,Billing & Refunds,Subscription Cancellation Issue,False,
TCK-1100,2026-07-13 02:38:53,USR-95181,Web Help Center,iPhone 14 Pro (iOS 17.4),v3.12.0,Purchased 1000 coins but balance is still 0,Payment was successful on Google Play but the app threw an error 'Transaction Pending' and my coins are missing. Please help credit them.,Content Access & Coins,Coins Not Credited,False,
TCK-1092,2026-07-15 17:42:53,USR-79352,In-App Form,iPad Air (iOS 17.2),v3.12.1,Episode 25 locked despite using 10 coins,Unlocked Episodes 10 to 15 in bulk for 50 coins. Episodes 12 and 13 are still showing a padlock icon. Please restore my unlocked episodes.,Content Access & Coins,Episode Locked After Unlock,False,
