ticket_id,subject,body,predicted_category,predicted_subcategory,confidence_score,sentiment,escalate_to_human,escalation_reason,suggested_reply,ground_truth_category,extracted_entities,classification_reasoning,used_llm_classifier,ground_truth_escalate
TCK-1110,VIP membership inactive on my account,"I paid for the Annual VIP Pass last month. Today after updating to v3.12.1, my account reverted to Free Tier and asks me to buy coins again. I pressed 'Restore Purchases' but nothing happened.",Content Access & Coins,Coins Not Credited,0.87,Neutral,False,,"Hello,

Thank you for bringing this to our attention! We apologize for the delay in crediting your purchased coins.

To immediately sync your coin wallet, please try the following steps:
1. Force-close the PocketToons app and re-open it.
2. Go to Profile > Account Settings and tap 'Sync Wallet Balance'.

Our system has also triggered a manual sync for your recent order. Your coin balance should reflect within 5-10 minutes. If your balance does not update, please send us your Store Receipt Number and we will manually credit your account.

Best regards,
PocketToons Content Team",Content Access & Coins,,,,
TCK-1096,Episode 25 locked despite using 10 coins,Unlocked Episodes 10 to 15 in bulk for 50 coins. Episodes 12 and 13 are still showing a padlock icon. Please restore my unlocked episodes.,Content Access & Coins,Episode Locked After Unlock,0.95,Negative,False,,"Hello,

We apologize for the glitch with your unlocked episode!

We have refreshed your content access tokens on our server for your account. Please force-close the app, reopen the show page, and tap 'Restore Unlocked Episodes'. You should now be able to play all unlocked episodes smoothly without any extra coin deductions.

Happy listening!
PocketToons Support Team",Content Access & Coins,,,,
TCK-1045,Charged after cancelling VIP membership,Where is the cancel button for PocketToons VIP? It keeps giving me an error message when I click 'Manage Subscription'. Stop billing my card!,Billing & Refunds,Unauthorized Charge,0.95,Negative,False,,"Hello,

Thank you for reaching out to PocketToons Billing Support.

We have received your billing query. Our billing team is reviewing your transaction logs. If any discrepancies or unauthorized charges are identified, rest assured they will be immediately adjusted or refunded.

Thank you for your patience,
PocketToons Support Team",Billing & Refunds,,,,
TCK-1004,Unauthorized auto-renewal after cancellation,I noticed a charge of $49.99 from PocketToons on my credit card today. I cancelled my subscription last month! This is an unauthorized charge. Refund me now or I will file a bank chargeback.,Billing & Refunds,Unauthorized Charge,0.95,Severe/Frustrated,True,Category escalation trigger ('chargeback') | Severe frustration on high-priority category,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Category escalation trigger ('chargeback') | Severe frustration on high-priority category

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Billing & Refunds,,,,
TCK-1015,Need refund for coin pack - child purchased by mistake,I accidentally bought the wrong coin tier ($19.99 instead of $4.99). I haven't spent any of the coins. Please refund Order #ORD-399105 so I can buy the correct one.,Content Access & Coins,Coins Not Credited,0.87,Negative,False,,"Hello,

Thank you for bringing this to our attention! We apologize for the delay in crediting your purchased coins.

To immediately sync your coin wallet, please try the following steps:
1. Force-close the PocketToons app and re-open it.
2. Go to Profile > Account Settings and tap 'Sync Wallet Balance'.

Our system has also triggered a manual sync for your recent order. Your coin balance should reflect within 5-10 minutes. If your balance does not update, please send us your Store Receipt Number and we will manually credit your account.

Best regards,
PocketToons Content Team",Billing & Refunds,,,,
TCK-1099,Episode 25 locked despite using 10 coins,"I spent 15 coins to unlock Episode 45 of 'Shadow Monarch', my coins were deducted, but when I click play it asks me to spend another 15 coins! Please fix this lock state.",Content Access & Coins,Episode Locked After Unlock,0.87,Negative,False,,"Hello,

We apologize for the glitch with your unlocked episode!

We have refreshed your content access tokens on our server for your account. Please force-close the app, reopen the show page, and tap 'Restore Unlocked Episodes'. You should now be able to play all unlocked episodes smoothly without any extra coin deductions.

Happy listening!
PocketToons Support Team",Content Access & Coins,,,,
TCK-1083,Purchased 1000 coins but balance is still 0,Payment was successful on Google Play but the app threw an error 'Transaction Pending' and my coins are missing. Please help credit them.,Content Access & Coins,Coins Not Credited,0.78,Negative,False,,"Hello,

Thank you for bringing this to our attention! We apologize for the delay in crediting your purchased coins.

To immediately sync your coin wallet, please try the following steps:
1. Force-close the PocketToons app and re-open it.
2. Go to Profile > Account Settings and tap 'Sync Wallet Balance'.

Our system has also triggered a manual sync for your recent order. Your coin balance should reflect within 5-10 minutes. If your balance does not update, please send us your Store Receipt Number and we will manually credit your account.

Best regards,
PocketToons Content Team",Content Access & Coins,,,,
TCK-1005,Unauthorized auto-renewal after cancellation,I am contacting my bank and attorney if this $50 unauthorized renewal is not refunded immediately. Order ID ORD-653306.,Billing & Refunds,Unauthorized Charge,0.95,Severe/Frustrated,True,Legal/Regulatory escalation trigger ('attorney') | Category escalation trigger ('attorney') | Severe frustration on high-priority category,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Legal/Regulatory escalation trigger ('attorney') | Category escalation trigger ('attorney') | Severe frustration on high-priority category

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Billing & Refunds,,,,
TCK-1057,Duplicate charge on my credit card receipt #ORD-126925,"Hi, I bought the $9.99 coin bundle yesterday on my iPhone. My bank statement shows two pending charges of $9.99 on the same minute! Transaction ID: ORD-126925. Please refund the extra $9.99.",Billing & Refunds,Unauthorized Charge,0.95,Severe/Frustrated,True,Severe frustration on high-priority category,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Severe frustration on high-priority category

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Billing & Refunds,,,,
TCK-1134,Downloaded episodes won't play offline,Downloads get stuck at 99% and fail with code ERR_STORAGE_WRITE. Device has over 30GB free storage available.,Content Access & Coins,Episode Locked After Unlock,0.29,Negative,True,Low classifier confidence (0.29 < 0.60),"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Low classifier confidence (0.29 < 0.60)

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Technical & Playback Bugs,,,,
TCK-1070,Need refund for coin pack - child purchased by mistake,I accidentally bought the wrong coin tier ($19.99 instead of $4.99). I haven't spent any of the coins. Please refund Order #ORD-478411 so I can buy the correct one.,Content Access & Coins,Coins Not Credited,0.87,Negative,False,,"Hello,

Thank you for bringing this to our attention! We apologize for the delay in crediting your purchased coins.

To immediately sync your coin wallet, please try the following steps:
1. Force-close the PocketToons app and re-open it.
2. Go to Profile > Account Settings and tap 'Sync Wallet Balance'.

Our system has also triggered a manual sync for your recent order. Your coin balance should reflect within 5-10 minutes. If your balance does not update, please send us your Store Receipt Number and we will manually credit your account.

Best regards,
PocketToons Content Team",Billing & Refunds,,,,
TCK-1027,Unrecognized charge of $49.99 on my statement,My credit card was charged $19.99 for coins I never purchased. I haven't opened the app in weeks. Please investigate this fraudulent charge and issue a full refund.,Billing & Refunds,Unauthorized Charge,0.95,Severe/Frustrated,True,Legal/Regulatory escalation trigger ('sue') | Category escalation trigger ('fraud') | Severe frustration on high-priority category,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Legal/Regulatory escalation trigger ('sue') | Category escalation trigger ('fraud') | Severe frustration on high-priority category

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Billing & Refunds,,,,
TCK-1094,VIP membership inactive on my account,"I paid for the Annual VIP Pass last month. Today after updating to v3.10.4, my account reverted to Free Tier and asks me to buy coins again. I pressed 'Restore Purchases' but nothing happened.",Content Access & Coins,Coins Not Credited,0.87,Neutral,False,,"Hello,

Thank you for bringing this to our attention! We apologize for the delay in crediting your purchased coins.

To immediately sync your coin wallet, please try the following steps:
1. Force-close the PocketToons app and re-open it.
2. Go to Profile > Account Settings and tap 'Sync Wallet Balance'.

Our system has also triggered a manual sync for your recent order. Your coin balance should reflect within 5-10 minutes. If your balance does not update, please send us your Store Receipt Number and we will manually credit your account.

Best regards,
PocketToons Content Team",Content Access & Coins,,,,
TCK-1001,Refund request for accidental purchase,The audio quality of the series 'The Billionaire's Secret' is unlistenable and muffled. I want a refund of the $9.99 VIP pass I bought 2 hours ago.,Billing & Refunds,Refund Request,0.78,Negative,False,,"Hello,

Thank you for reaching out to PocketToons Support regarding your refund request.

We understand accidental purchases can happen. We have logged your request. If this purchase was made within the last 14 days and the coin balance/content remains unused, our billing system will automatically process a full refund to your original payment method within 24-48 hours.

Please confirm your Order ID if you haven't attached it yet so we can expedite your processing.

Best regards,
PocketToons Billing Team",Billing & Refunds,,,,
TCK-1193,Audio volume balance between voice and background music,"I love the audio show 'Vampire Prince', but the background music is way too loud compared to the narrator's voice. Could you adjust the audio mixing in future episodes?",Feedback & General,Narrator Voice Feedback,0.57,Positive,True,Low classifier confidence (0.57 < 0.60),"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Low classifier confidence (0.57 < 0.60)

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Feedback & General,,,,
